plz;ort
21039;Bîrnsen
21039;Escheburg
21465;Wentorf bei Hamburg
21465;Reinbek
21481;Buchhorst
21481;Schnakenbek
21481;Lauenburg/Elbe
21483;LÅtau
21483;KrÅzen
21483;Lanze
21483;Wangelau
21483;Juliusburg
21483;GÅlzow
21483;Basedow
21483;Dalldorf
21483;Krukow
21493;Gro· Pampau
21493;Fuhlenhagen
21493;Schretstaken
21493;Mîhnsen
21493;Grabau
21493;Sahms
21493;Elmenhorst
21493;Basthorst
21493;MÅhlenrade
21493;Grove
21493;Schwarzenbek
21493;Talkau
21493;Havekost
21502;Worth
21502;Geesthacht
21502;Hamwarde
21502;Wiershop
21509;Glinde
21514;Kankelau
21514;Gîttin
21514;BÅchen
21514;Brîthen
21514;Siebeneichen
21514;Fitzen
21514;Witzeeze
21514;Roseburg
21514;Klein Pampau
21514;Hornbek
21514;GÅster
21514;Langenlehsten
21516;Woltersdorf
21516;Schulendorf
21516;Tramm
21516;MÅssen
21521;AumÅhle
21521;Wohltorf
21521;Dassendorf
21524;Brunstorf
21526;Hohenhorn
21527;Kollow
21529;Krîppelshagen-Fahrendorf
22113;Oststeinbek
22145;Braak
22145;Stapelfeld
22844;Norderstedt
22846;Norderstedt
22848;Norderstedt
22850;Norderstedt
22851;Norderstedt
22869;Schenefeld
22880;Wedel
22885;BarsbÅttel
22889;Tangstedt
22926;Ahrensburg
22927;Gro·hansdorf
22929;Hamfelde in Holstein
22929;Hamfelde in Lauenburg
22929;Rausdorf
22929;Kîthel
22929;Delingsdorf
22929;Kasseburg
22929;Schînberg
22929;Hammoor
22941;Bargteheide
22941;Jersbek
22946;Hohenfelde
22946;Trittau
22946;Brunsbek
22946;Grande
22946;Dahmker
22946;Gro·ensee
22949;Ammersbek
22952;LÅtjensee
22955;Hoisdorf
22956;Grînwohld
22958;Kuddewîrde
22959;Linau
22962;Siek
22964;Steinburg
22965;Todendorf
22967;TremsbÅttel
22969;Witzhave
23552;LÅbeck
23554;LÅbeck
23556;LÅbeck
23558;LÅbeck
23560;LÅbeck
23562;LÅbeck
23564;LÅbeck
23566;LÅbeck
23568;LÅbeck
23569;LÅbeck
23570;LÅbeck
23611;Bad Schwartau
23617;Stockelsdorf
23619;Rehhorst
23619;Mînkhagen
23619;Zarpen
23619;Hamberge
23619;Heilshoop
23619;Badendorf
23623;Ahrensbîk
23626;Ratekau
23627;Gro· Grînau
23627;Gro· Sarau
23628;Krummesse
23628;Klempau
23669;Timmendorfer Strand
23683;Scharbeutz
23684;Scharbeutz
23701;SÅsel
23701;Eutin
23714;KirchnÅchel
23714;Malente
23715;Bosau
23717;Kasseedorf
23719;Glasau
23730;Schashagen
23730;Neustadt in Holstein
23730;Sierksdorf
23730;Altenkrempe
23738;Lensahn
23738;Beschendorf
23738;Manhagen
23738;Kabelhorst
23738;Riepsdorf
23738;Harmsdorf
23738;Damlos
23743;Grîmitz
23744;Schînwalde am Bungsberg
23746;Kellenhusen
23747;Dahme
23749;Grube
23758;Gîhl
23758;Wangels
23758;Oldenburg in Holstein
23758;Gremersdorf
23769;Fehmarn
23774;Heiligenhafen
23775;Gro·enbrode
23777;Heringsdorf
23779;Neukirchen
23795;Stipsdorf
23795;Bad Segeberg
23795;Fahrenkrug
23795;Gro· Rînnau
23795;Weede
23795;Negernbîtel
23795;Mîzen
23795;Hîgersdorf
23795;Schwissel
23795;Klein Rînnau
23795;Traventhal
23795;Klein GladebrÅgge
23795;Schieren
23795;Schackendorf
23812;Wahlstedt
23813;Nehms
23813;Blunk
23815;Geschendorf
23815;Strukdorf
23815;Westerrade
23816;Neversdorf
23816;Gro· Niendorf
23816;Leezen
23816;Bebensee
23818;Neuengîrs
23820;Pronstorf
23821;Rohlstorf
23823;Seedorf
23824;Tensfeld
23824;Damsdorf
23826;Fredesdorf
23826;Bark
23826;Todesfelde
23827;Travenhorst
23827;Krems II
23827;Wensin
23829;Wittenborn
23829;KÅkels
23843;Bad Oldesloe
23843;TravenbrÅck
23843;RÅmpel
23843;Neritz
23845;Bahrenhof
23845;Wakendorf I
23845;BÅhnsdorf
23845;Seth
23845;Grabau
23845;Oering
23845;Dreggers
23845;Itzstedt
23847;Lasbek
23847;Pîlitz
23847;Westerau
23847;Steinhorst
23847;Schiphorst
23847;SchÅrensîhlen
23847;Bliestorf
23847;Rethwisch
23847;Sierksrade
23847;Kastorf
23847;Gro· Boden
23847;DÅchelsdorf
23847;Meddewade
23847;Stubben
23847;Grinau
23847;SiebenbÑumen
23858;Feldhorst
23858;Reinfeld (Holstein)
23858;Barnitz
23858;Wesenberg
23858;Heidekamp
23860;Gro· Schenkenberg
23860;Klein Wesenberg
23863;Nienwohld
23863;Kayhude
23863;Bargfeld-Stegen
23866;Nahe
23867;SÅlfeld
23869;Elmenhorst
23879;Mîlln
23881;BÑlau
23881;Niendorf an der Stecknitz
23881;Koberg
23881;Borstorf
23881;Breitenfelde
23881;Alt Mîlln
23881;Lankau
23883;Sterley
23883;Brunsmark
23883;Seedorf
23883;Klein Zecher
23883;Grambek
23883;Horst
23883;Lehmrade
23883;Hollenbek
23896;Walksfelde
23896;Ritzerau
23896;Poggensee
23896;Panten
23896;Nusse
23898;Labenz
23898;Sirksfelde
23898;LÅchow
23898;Wentorf
23898;Sandesneben
23898;KÅhsen
23898;Klinkrade
23898;Duvensee
23899;Besenthal
23899;Gudow
23909;Mechow
23909;Fredeburg
23909;Giesensdorf
23909;Albsfelde
23909;Rîmnitz
23909;BÑk
23909;Ratzeburg
23911;Mustin
23911;Salem
23911;Pogeez
23911;Buchholz
23911;Ziethen
23911;Kulpin
23911;Kittlitz
23911;Harmsdorf
23911;Schmilau
23911;Einhaus
23911;Gro· Disnack
23919;Berkenthin
23919;Gîldenitz
23919;Niendorf
23919;Behlendorf
23919;Rondeshagen
24103;Kiel
24105;Kiel
24106;Kiel
24107;Kiel
24107;Quarnbek
24107;Ottendorf
24109;Kiel
24109;Melsdorf
24111;Kiel
24113;Kiel
24113;Molfsee
24114;Kiel
24116;Kiel
24118;Kiel
24119;Kronshagen
24143;Kiel
24145;Kiel
24146;Kiel
24147;Kiel
24147;Klausdorf
24148;Kiel
24149;Kiel
24159;Kiel
24161;Altenholz
24211;Lehmkuhlen
24211;KÅhren
24211;Pohnsdorf
24211;Honigsee
24211;Schellhorn
24211;Preetz
24211;Postfeld
24211;Rastorf
24211;Wahlstorf
24214;Neudorf-Bornstein
24214;Gettorf
24214;TÅttendorf
24214;Lindau
24214;Neuwittenbek
24214;Schinkel
24214;Noer
24217;Hîhndorf
24217;Wisch
24217;Schînberg (Holstein)
24217;Krokau
24217;Krummbek
24217;Barsbek
24217;Stakendorf
24217;Fiefbergen
24217;Bendfeld
24220;Boksee
24220;Bîhnhusen
24220;Flintbek
24220;Techelsdorf
24220;Schînhorst
24223;Raisdorf
24226;Heikendorf
24229;Strande
24229;Schwedeneck
24229;DÑnischenhagen
24232;Schînkirchen
24232;Dobersdorf
24235;Laboe
24235;Lutterbek
24235;Stein
24235;Wendtorf
24235;Brodersdorf
24238;Lammershagen
24238;Selent
24238;Martensrade
24238;Mucheln
24239;Achterwehr
24241;Schierensee
24241;Sîren
24241;Grevenkrug
24241;Schmalstede
24241;Reesdorf
24241;Blumenthal
24242;Felde
24244;Felm
24245;Klein Barkau
24245;Barmissen
24245;Kirchbarkau
24245;Gro·barkau
24247;Rodenbek
24247;Mielkendorf
24248;Mînkeberg
24250;Warnau
24250;Nettelsee
24250;Lîptin
24250;Bothkamp
24251;Osdorf
24253;Probsteierhagen
24253;Fahren
24253;Prasdorf
24253;Passade
24254;Rumohr
24256;Fargau-Pratjau
24256;Stoltenberg
24256;Schlesen
24257;Hohenfelde
24257;Schwartbuck
24257;Kîhn
24259;Westensee
24306;Wittmoldt
24306;Lebrade
24306;Bîsdorf
24306;Plîn
24306;Rathjensdorf
24321;Hohwacht
24321;Klamp
24321;LÅtjenburg
24321;Trîndel
24321;Giekau
24321;Panker
24321;Helmstorf
24321;Behrensdorf
24326;Dîrnick
24326;Ascheberg
24326;Stocksee
24326;Dersau
24326;Nehmten
24326;KalÅbbe
24327;Hîgsdorf
24327;Kletkamp
24327;Blekendorf
24329;Grebin
24329;Dannau
24329;Rantzau
24340;Altenhof
24340;Windeby
24340;Goosefeld
24340;Gammelby
24340;Eckernfîrde
24351;Damp
24351;Thumby
24354;Kosel
24354;Rieseby
24357;Fleckeby
24357;Hummelfeld
24357;GÅby
24358;HÅtten
24358;Bistensee
24358;Ascheffel
24360;Barkelsby
24361;Holzbunge
24361;Damendorf
24361;Haby
24361;Gro· Wittensee
24361;Klein Wittensee
24363;Holtsee
24364;Holzdorf
24366;Loose
24367;Osterby
24369;Waabs
24376;Hasselberg
24376;Rabel
24376;Grîdersby
24376;Kappeln
24376;Arnis
24392;Norderbrarup
24392;Dollrottfeld
24392;Wagersrott
24392;Brebel
24392;Kiesby
24392;Scheggerott
24392;SÅderbrarup
24392;Nottfeld
24392;Boren
24392;Ekenis
24392;Saustrup
24395;Gelting
24395;Rabenholz
24395;Pommerby
24395;Nieby
24395;Stangheck
24395;Kronsgaard
24395;Niesgrau
24398;Winnemark
24398;Dîrphof
24398;Karby
24398;Brodersby
24401;Bîel
24402;Esgrus
24404;Maasholm
24405;RÅgge
24405;Mohrkirch
24407;Rabenkirchen-FaulÅck
24407;Oersberg
24409;StoltebÅll
24534;NeumÅnster
24536;Tasdorf
24536;NeumÅnster
24537;NeumÅnster
24539;NeumÅnster
24558;Wakendorf II
24558;Henstedt-Ulzburg
24568;Kattendorf
24568;Kaltenkirchen
24568;NÅtzen
24568;Oersdorf
24568;Winsen
24576;Bad Bramstedt
24576;Hagen
24576;Hitzhusen
24576;Weddelbrook
